iter	Logloss	Accuracy
580	0.2278217021	0.8986442866
581	0.2277901447	0.8986290966
582	0.2277675082	0.8986442866
583	0.2277451874	0.8986746668
584	0.227718765	0.8986746668
585	0.2276875118	0.8987050469
586	0.2276671847	0.8987430221
587	0.2276402627	0.898735427
588	0.2276171111	0.898735427
589	0.2275888184	0.8987582121
590	0.2275660277	0.898735427
591	0.2275386513	0.8987506171
592	0.2275197382	0.8987658072
593	0.2275038217	0.8987658072
594	0.2274862325	0.8987734022
595	0.227457476	0.8987734022
596	0.2274016793	0.8988113774
597	0.2273680695	0.8988645426
598	0.2273366182	0.8989328979
599	0.2273155794	0.898963278
600	0.2272909997	0.8989784681
601	0.2272671051	0.8990088482
602	0.2272417735	0.8990240383
603	0.2272206555	0.8989784681
604	0.2271898809	0.8990392283
605	0.2271654625	0.8990240383
606	0.2271336353	0.8990316333
607	0.227101718	0.8990012532
608	0.2270803499	0.8990847985
609	0.2270530979	0.8990847985
610	0.2270282032	0.8990544184
611	0.2270146094	0.8990544184
612	0.2269867306	0.8990999886
613	0.2269703974	0.8991379638
614	0.2269437422	0.8991683439
615	0.2269245431	0.899198724
616	0.2268962851	0.8992063191
617	0.2268613297	0.8992215091
618	0.2268094855	0.8993202446
619	0.2267860413	0.8993961949
620	0.2267511351	0.8993506247
621	0.2267295665	0.8993658148
622	0.2266864029	0.8993734098
623	0.2266586663	0.8993810048
624	0.2266306791	0.8994417651
625	0.2266120021	0.8994417651
626	0.2265799847	0.8994569552
627	0.2265592201	0.8994721452
628	0.2265221287	0.8994873353
629	0.226493671	0.8994873353
630	0.2264769055	0.8995556906
631	0.2264560653	0.8995556906
632	0.2264425885	0.8995177154
633	0.2264221157	0.8995784757
634	0.2263978056	0.8995632856
635	0.226379898	0.8995632856
636	0.2263373972	0.8996164508
637	0.2263221339	0.8996696161
638	0.2262911296	0.8996848061
639	0.2262705413	0.8996924012
640	0.2262315282	0.8997151863
641	0.2262025734	0.8997607565
642	0.226177374	0.8997911366
643	0.2261585776	0.8997607565
644	0.2261295426	0.8997987316
645	0.2261005923	0.8998291118
646	0.2260776857	0.8998443018
647	0.226060324	0.8998215167
648	0.2260199893	0.8998367068
649	0.2260053012	0.8998215167
650	0.2259890692	0.8998594919
651	0.2259674812	0.8998594919
652	0.2259162732	0.8998670869
653	0.2258710597	0.8999582273
654	0.225836849	0.8999734174
655	0.2258164434	0.8999430373
656	0.225795778	0.8999734174
657	0.2257797532	0.9000037975
658	0.2257519209	0.8999734174
